loss,root_mean_squared_error,mean_absolute_error
499.0108337402344,22.338550567626953,2.4298853874206543
591.8590087890625,24.32815170288086,2.541425943374634
441.9925537109375,21.023618698120117,2.3111841678619385
441.92462158203125,21.022003173828125,2.273282289505005
440.0592346191406,20.977588653564453,2.250887870788574
518.8151245117188,22.77751350402832,2.2420568466186523
449.1151123046875,21.192337036132812,2.2296345233917236
440.17254638671875,20.980289459228516,2.204840898513794
444.708251953125,21.088106155395508,2.1931955814361572
440.7944030761719,20.99510383605957,2.2135119438171387
442.05072021484375,21.025001525878906,2.202162027359009
440.75189208984375,20.994091033935547,2.201138496398926
679.84619140625,26.07386016845703,2.3087642192840576
442.3195495605469,21.031394958496094,2.346219778060913
442.58526611328125,21.037710189819336,2.2737832069396973
453.62786865234375,21.298542022705078,3.3384923934936523
445.622314453125,21.10976791381836,2.657263994216919
452.23968505859375,21.265928268432617,2.7483911514282227
4234.388671875,65.07218170166016,2.6206369400024414
51223.04296875,226.32508850097656,2.6639962196350098
442.9430847167969,21.046213150024414,2.555769920349121
486.7367248535156,22.062110900878906,2.483872652053833
14122.765625,118.83924102783203,2.3910071849823
440.80926513671875,20.995458602905273,2.277860641479492
442.2427062988281,21.02956771850586,2.2116429805755615
445.36358642578125,21.103639602661133,2.2367074489593506
441.77496337890625,21.018444061279297,2.2343616485595703
444.9888610839844,21.094758987426758,2.23221755027771
442.3090515136719,21.031145095825195,2.415004014968872
466.8998107910156,21.607864379882812,3.9466681480407715
